name,population,region,GDP
India,1476625576.0,Asia,3912686168582.0
China,1412914089.0,Asia,18743803170827.0
United States,349035494.0,Northern America,29184890000000.0
Indonesia,287886782.0,Asia,1396300098191.0
Pakistan,259299791.0,Asia,373071855732.0
Nigeria,242431832.0,Africa,187759703100.0
Brazil,213562666.0,Latin America,2179412080829.0
Bangladesh,177818044.0,Asia,450119424622.0
Russia,143394458.0,Europe,2173835806672.0
Ethiopia,138902185.0,Africa,142073000000.0
Mexico,132997658.0,Latin America,1852722885258.0
Japan,122427731.0,Asia,4026210821147.0
Egypt,120101175.0,Africa,389059911004.0
Philippines,117724471.0,Asia,461617509782.0
DR Congo,116452162.0,Africa,70749355652.0
Vietnam,102177431.0,Asia,476388230307.0
Iran,93168497.0,Asia,436906331672.0
Turkey,87926082.0,Asia,1323254808059.0
Germany,83644258.0,Europe,4659929336891.0
Tanzania,72563780.0,Africa,78779864877.0
Thailand,71559614.0,Asia,526411265428.0
United Kingdom,69931528.0,Europe,3643834188783.0
France,66746401.0,Europe,3162079073496.0
South Africa,65453084.0,Africa,400260724226.0
Italy,58926166.0,Europe,2372774547793.0
Kenya,58636412.0,Africa,124498691699.0
Myanmar,55184819.0,Asia,74079772652.0
Colombia,53936226.0,Latin America,418542042920.0
Sudan,53282719.0,Africa,49909807030.0
Uganda,52761469.0,Africa,53651874314.0
South Korea,51600388.0,Asia,1875388000000.0
Algeria,48028334.0,Africa,263619794507.0
Iraq,48007437.0,Asia,279641257615.0
Spain,47850793.0,Europe,1722745978335.0
Argentina,46003734.0,Latin America,633266692534.0
Afghanistan,45047069.0,Asia,17817000000.0
Yemen,42961653.0,Asia,8058000000.0
Canada,40467728.0,Northern America,2241253230970.0
Angola,40215179.0,Africa,80396942242.0
Ukraine,39535849.0,Europe,190741263732.0
Morocco,38762441.0,Africa,154430996473.0
Poland,37843188.0,Europe,914696430325.0
Uzbekistan,37724223.0,Asia,114965293467.0
Mozambique,36639851.0,Africa,22416650343.0
